Nama Hotel,Tanggal,Harga,Daerah,Bintang,Rating,Latitude,Longitude,LD,PD,Oktober,November,Weekend,AC,Restaurant,24-Hour Front Desk,Elevator,WiFi,Parking,Swimming Pool,Standard Room,Non-Standrad Room,jakarta barat,jakarta pusat,jakarta selatan,jakarta timur,jakarta utara
"SOTIS Hotel Falatehan, Blok M, Jakarta",1114,340000,jakarta selatan,3,8.4,-6.2428344,106.8013684,0.001124465,59760.625,0,1,1,1,1,1,1,1,1,0,1,0,0,0,1,0,0
"SOTIS Hotel Falatehan, Blok M, Jakarta",1116,340000,jakarta selatan,3,8.4,-6.2428344,106.8013684,0.001124465,61906,0,1,0,1,1,1,1,1,1,0,1,0,0,0,1,0,0
"SOTIS Hotel Falatehan, Blok M, Jakarta",1117,340000,jakarta selatan,3,8.4,-6.2428344,106.8013684,0.001124465,47105.88889,0,1,0,1,1,1,1,1,1,0,1,0,0,0,1,0,0
An Hotel Jakarta,1114,340000,jakarta selatan,2,8,-6.2226558,106.8228063,0.004271598,599559.1,0,1,1,1,1,1,1,1,1,0,1,0,0,0,1,0,0
An Hotel Jakarta,1117,340000,jakarta selatan,2,8,-6.2226558,106.8228063,0.004271598,718080.1,0,1,0,1,1,1,1,1,1,0,1,0,0,0,1,0,0
Capital O 534 Sriwijaya Hotel,1116,340073,jakarta pusat,3,8.3,-6.1688353,106.8299074,0.004376645,374445.6,0,1,0,1,1,1,0,1,1,0,1,0,0,1,0,0,0
Coin's Hotel Jakarta,1116,340390,jakarta utara,3,8.3,-6.1384175,106.8630442,0.017099762,370143.25,0,1,0,1,1,1,1,1,0,0,1,0,0,0,0,0,1
Mutiara Suites,1020,340468,jakarta selatan,3,7.9,-6.2765198,106.8081845,0.008928135,218550.6,1,0,0,1,0,0,0,1,1,1,1,0,0,0,1,0,0
Mutiara Suites,1021,340468,jakarta selatan,3,7.9,-6.2765198,106.8081845,0.008928135,162348,1,0,0,1,0,0,0,1,1,1,1,0,0,0,1,0,0
Mutiara Suites,1026,340468,jakarta selatan,3,7.9,-6.2765198,106.8081845,0.008928135,166877.9,1,0,0,1,0,0,0,1,1,1,1,0,0,0,1,0,0
Mutiara Suites,1027,340468,jakarta selatan,3,7.9,-6.2765198,106.8081845,0.008928135,171442.3,1,0,0,1,0,0,0,1,1,1,1,0,0,0,1,0,0
Mutiara Suites,1028,340468,jakarta selatan,3,7.9,-6.2765198,106.8081845,0.008928135,158908.5,1,0,0,1,0,0,0,1,1,1,1,0,0,0,1,0,0
Mutiara Suites,1031,340468,jakarta selatan,3,7.9,-6.2765198,106.8081845,0.008928135,190255.5,1,0,1,1,0,0,0,1,1,1,1,0,0,0,1,0,0
Mutiara Suites,1116,340468,jakarta selatan,3,7.9,-6.2765198,106.8081845,0.008928135,292251,0,1,0,1,0,0,0,1,1,1,1,0,0,0,1,0,0
Mutiara Suites,1118,340468,jakarta selatan,3,7.9,-6.2765198,106.8081845,0.008928135,299998.9,0,1,0,1,0,0,0,1,1,1,1,0,0,0,1,0,0
Amaris Hotel Panglima Polim,1113,340540,jakarta selatan,2,8.3,-6.2521061,106.797586,0.004018285,133572.1,0,1,1,0,1,1,1,1,1,0,1,0,0,0,1,0,0
Amaris Hotel Panglima Polim,1114,340540,jakarta selatan,2,8.3,-6.2521061,106.797586,0.004018285,134429.3333,0,1,1,0,1,1,1,1,1,0,1,0,0,0,1,0,0
Zuri Express Hotel Mangga Dua,1028,340650,jakarta pusat,3,8.6,-6.1393174,106.8252008,0.005508008,110397.4,1,0,0,1,1,1,1,1,1,0,1,0,0,1,0,0,0
