Nama Hotel,Tanggal,Harga,Daerah,Bintang,Rating,Latitude,Longitude,LD,PD,Oktober,November,Weekend,AC,Restaurant,24-Hour Front Desk,Elevator,WiFi,Parking,Swimming Pool,Standard Room,Non-Standrad Room,sleman,yogyakarta,bantul,kulon progo,gunungkidul
Satya Graha Hotel,1029,100000,yogyakarta,0,8.3,-7.8157542,110.3879278,0.004681612,178310.1,1,0,0,1,1,1,0,1,1,1,1,0,0,1,0,0,0
Pakem Sari Hotel & Resto,1022,100000,sleman,0,7,-7.6633438,110.4136656,0.052180203,133463.5,1,0,0,1,1,1,0,1,1,1,1,0,1,0,0,0,0
Pakem Sari Hotel & Resto,1023,100000,sleman,0,7,-7.6633438,110.4136656,0.052180203,177238,1,0,1,1,1,1,0,1,1,1,1,0,1,0,0,0,0
Hotel Karunia Yogyakarta,1021,100000,yogyakarta,0,8.2,-7.7914838,110.3626074,0.000650513,235332,1,0,0,0,0,1,0,1,1,0,1,0,0,1,0,0,0
Hotel Karunia Yogyakarta,1022,100000,yogyakarta,0,8.2,-7.7914838,110.3626074,0.000650513,173671.5,1,0,0,0,0,1,0,1,1,0,1,0,0,1,0,0,0
Hotel Karunia Yogyakarta,1023,100000,yogyakarta,0,8.2,-7.7914838,110.3626074,0.000650513,234823.75,1,0,1,0,0,1,0,1,1,0,1,0,0,1,0,0,0
Hotel Karunia Yogyakarta,1024,100000,yogyakarta,0,8.2,-7.7914838,110.3626074,0.000650513,273083.2222,1,0,1,0,0,1,0,1,1,0,1,0,0,1,0,0,0
Hotel Karunia Yogyakarta,1026,100000,yogyakarta,0,8.2,-7.7914838,110.3626074,0.000650513,217258,1,0,0,0,0,1,0,1,1,0,1,0,0,1,0,0,0
Hotel Karunia Yogyakarta,1028,100000,yogyakarta,0,8.2,-7.7914838,110.3626074,0.000650513,187888.6667,1,0,0,0,0,1,0,1,1,0,1,0,0,1,0,0,0
Hotel Karunia Yogyakarta,1112,100000,yogyakarta,0,8.2,-7.7914838,110.3626074,0.000650513,269210.1667,0,1,0,0,0,1,0,1,1,0,1,0,0,1,0,0,0
